"name","a_price","a_rating","a_content_rating","a_genre","p_price","p_rating","p_content_rating","p_genre","avg_rating"
"PewDiePie's Tuber Simulator","$0.00","5.0","9+","Games","$0.00","4.8","Teen","Casual","4.9000000000000000"
"The Guardian","$0.00","5.0","12+","News","$0.00","4.7","Teen","News & Magazines","4.8500000000000000"
"Egg, Inc.","$0.00","5.0","4+","Games","$0.00","4.7","Everyone","Simulation","4.8500000000000000"
"ASOS","$0.00","5.0","4+","Shopping","$0.00","4.7","Everyone","Shopping","4.8500000000000000"
"Domino's Pizza USA","$0.00","5.0","4+","Food & Drink","$0.00","4.7","Everyone","Food & Drink","4.8500000000000000"
"Geometry Dash Lite","$0.00","5.0","4+","Games","$0.00","4.5","Everyone","Arcade","4.7500000000000000"
"Fernanfloo","$0.00","4.5","9+","Games","$0.00","4.8","Everyone 10+","Arcade","4.6500000000000000"
"Bible","$0.00","4.5","4+","Reference","$0.00","4.7","Teen","Books & Reference","4.6000000000000000"
"Solitaire","$0.00","4.5","4+","Games","$0.00","4.7","Everyone","Card","4.6000000000000000"
"Narcos: Cartel Wars","$0.00","4.5","12+","Games","$0.00","4.7","Teen","Strategy","4.6000000000000000"
